id,X4,X11,X18,X26,X50,X3112
154220505,1.0559146,147.7471,19707.064,3508.02,15.083556,401583.16
195736552,1.0636492,148.27052,19701.396,3477.5747,15.138631,398970.44
182701773,0.9614158,149.96481,19699.559,3464.0425,15.063924,398313.0
27688500,1.0437691,145.00378,19699.99,3472.1912,15.598302,398104.9
195825045,0.95153713,149.57181,19699.234,3461.6414,15.124618,397981.66
90218281,1.1314992,142.99619,19700.705,3473.2112,15.61116,398067.75
184784126,1.1867039,140.84138,19702.262,3464.8774,15.450589,397962.44
196505896,1.0096655,147.81647,19700.25,3465.2007,14.94329,398494.53
190205411,1.1034842,143.25273,19700.92,3468.1487,15.207251,398123.25
193155678,0.959187,149.90341,19699.146,3461.1987,15.04724,398024.03
196236454,1.0257102,150.74608,19700.51,3469.9028,15.016303,398989.28
88250214,0.95993716,148.32458,19699.883,3461.5122,14.883921,398291.16
191944528,1.001984,147.4086,19700.186,3468.2078,15.108708,398580.3
195493725,1.0493696,149.22136,19702.564,3482.0122,15.007514,399838.72
70134978,1.0541588,144.5479,19700.229,3471.126,15.593802,398030.6
133890184,1.0937328,144.10759,19700.207,3474.3706,15.831307,398179.22
68444641,1.1093178,147.35342,19701.7,3492.3538,15.387531,399435.47
192180569,1.157379,141.23192,19701.18,3470.8,15.475076,397896.88
196586748,0.98175937,150.5733,19699.969,3468.1907,14.958478,398788.7
195485068,1.0625117,146.62564,19704.383,3493.817,15.062522,400325.0
195545760,1.0044599,147.58083,19700.66,3470.762,15.1395,398796.12
189067868,1.0570302,150.27965,19701.31,3478.7146,15.016933,399534.6
131023803,0.95568997,149.55974,19699.926,3466.2034,15.110766,398756.28
194368572,0.98612905,149.43524,19699.623,3468.341,15.308717,398244.78
189725896,0.9838917,149.46477,19699.709,3462.1926,14.922606,398268.4
173252815,0.9428602,150.59529,19699.773,3462.9092,14.913016,398694.12
195533521,0.9763911,150.4306,19699.84,3462.1013,14.946789,398414.06
195745232,1.0343549,150.40881,19700.055,3470.9182,15.05642,398671.78
167228481,1.0098895,149.8557,19700.229,3468.343,14.893831,398663.9
95065732,1.002581,148.67122,19700.684,3468.4514,14.949177,398761.53
195765481,0.92643714,152.97556,19699.45,3460.5488,14.781467,398459.97
196106550,0.9715965,149.61221,19699.537,3463.2134,15.078866,398260.97
164667216,1.0386692,145.0197,19699.883,3465.7449,15.285661,398061.62
196427019,0.9863306,147.86646,19700.055,3468.0515,15.245359,398421.03
106805402,1.0701387,148.24432,19706.113,3505.658,14.923623,401424.9
195791417,1.0736305,142.5654,19699.969,3464.0881,15.267378,397896.03
139349381,0.9472616,151.43826,19699.666,3465.0525,14.902713,398581.2
193429351,1.0554128,148.98291,19702.197,3485.8433,15.134505,399920.38
194639882,0.9336908,149.29887,19699.602,3466.291,15.208741,398519.06
153077808,0.97608364,148.47522,19699.47,3462.3237,15.068059,398096.6
175180283,0.9621688,148.38396,19699.516,3461.3867,15.051478,398097.03
129383924,1.018892,149.85643,19703.604,3488.8623,14.892036,400953.12
194749428,0.95874393,152.01266,19699.45,3463.0518,14.879035,398414.94
194821149,0.9632273,154.41847,19699.363,3460.7808,14.784779,398432.44
195656804,1.0762326,146.09294,19700.92,3465.1113,15.073106,398264.03
187922795,1.1105796,147.32326,19702.695,3492.5225,15.170949,399670.2
107367396,1.0175213,150.4231,19700.898,3475.147,15.032213,399956.38
194295516,0.9692333,150.2812,19699.666,3465.3188,15.078295,398582.94
194215752,1.0058521,151.93015,19700.424,3467.9983,14.846829,398874.5
195654943,0.98584557,149.3074,19699.926,3464.8528,14.96362,398490.2
